question,answer
"Is the sky blue?",true
"Is the grass red?",false
"Is the sun hot?",true
"Is the moon made of cheese?",false
"Are humans mammals?",true
"Is water dry?",false
"Does a square have three sides?",false
"Is 2 + 2 equal to 4?",true
"Can birds fly?",true
"Is fire cold?",false
"Is a dog a feline?",false
"Is a cat a mammal?",true
"Is the Earth flat?",false
"Is the capital of France Paris?",true
"Do fish swim?",true
"Can pigs fly?",false
"Is 5 greater than 10?",false
"Is 10 greater than 5?",true
"Is a triangle a four-sided shape?",false
"Is a square a four-sided shape?",true
